 [12.10.2017 19:6:49] Player ";;;" earned 2 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:7:20] Player ";;;" earned 9 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:7:20] Player ";;;" earned 9 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:8:15] Player ";;;" earned 2 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:9:16] Player ";;;" earned 3 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:9:50] Player ";;;" earned 2 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:10:3] Player ";;;" earned 5 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:12:4] Player ";;;" earned 3 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:13:41] Player ";;;" earned 301 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:14:38] Player ";;;" earned 384 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:14:55] Player ";;;" earned 36 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:15:11] Player ";;;" earned 58 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:15:20] Player ";;;" earned 21 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:16:18] Player "Serega" earned 3 points(W - 50, L - 40, gW - 20, S - 5)
 [12.10.2017 19:17:19] Player "Serega" earned 681 points(W - 50, L - 40, gW - 20, S - 5)
 [12.10.2017 19:17:40] Player "Serega" earned 13 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:20:2] Player "Serega" earned 295 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:20:31] Player "Serega" earned 212 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:21:22] Player "Serega" earned 471 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:21:33] Player "Serega" earned 5 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:22:1] Player "Serega" earned 195 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:22:11] Player "Serega" earned 39 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:22:27] Player "Serega" earned 76 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:23:26] Player "Serega" earned 25 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:23:43] Player "Serega" earned 5 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:25:7] Player "Serega" earned 4 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:25:50] Player "Serega" earned 319 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:26:12] Player "Serega" earned 3 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:26:30] Player "Serega" earned 105 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:26:40] Player "Serega" earned 37 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:26:56] Player "Serega" earned 83 points(W - 76, L - 45, gW - 26, S - 2)
